full_name,spkid,epoch,e,a,q,i,om,w,ma,tp,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_tp,sigma_ma,data_arc,first_obs,last_obs,n_obs_used
109P/Swift-Tuttle,1000140,2450000.5,0.963225755046038,26.0920694978266,0.959516155068868,113.453816997171,139.3811920815948,152.9821676305871,7.631696167124212,2448968.499784556,6.8344E-9,8.2048E-7,1.7657E-7,2.1907E-5,2.7841E-5,3.2865E-5,2.9166E-5,3.1321E-7,94131,1737-07-08,1995-03-29,652.0
177P/Barnard,1000909,2453849.5,0.9544420406209867,24.30466899065874,1.107271122596795,31.21645855446403,272.0677211344989,60.45355083971904,358.9579497161313,2453976.18324182,3.4314E-9,2.2692E-7,9.0436E-8,1.224E-5,7.4188E-6,1.7361E-5,1.2172E-5,1.1174E-7,42903,1889-06-24,2006-12-11,1702.0
C/1970 N1 (Abe),1001142,2440870.5,1.000036917060185,-30136.21715089944,1.112540542309455,126.7199098159451,21.70135809394426,96.58336423631219,-1.827270513054851E-6,2440880.1991098253,4.931E-6,4025.3,9.1617E-7,8.4071E-5,9.3844E-5,9.7836E-5,9.7869E-5,3.661E-7,324,1970-07-05,1971-05-25,271.0
C/1972 E1 (Bradfield),1001145,2441431.5,0.9981407981213753,498.7184341668502,0.9272182497077517,123.6926884485779,160.2990796844016,257.6988907490442,.0024158259040014,2441404.201128647,.00028017,75.176,4.316E-5,.0012806,.001437,.0064631,.0061455,.00054678,72,1972-03-22,1972-06-02,85.0
C/1977 H1 (Helin),1001171,2443255.5,0.9999924884560689,148777.2588863746,1.117546916071029,43.19493843748117,20.13858282094856,249.3582191747553,359.9999987981889,2443325.4740411122,.0016898,3.347E7,.00047625,.04812,.0026836,.034243,.023093,.00040555,29,1977-04-16,1977-05-15,35.0
C/1977 R1 (Kohler),1000578,2443448.5,0.9995493480893816,2198.096722725135,0.9905764878202094,48.71186547368851,182.5226840064215,163.4866156159515,359.9999084738317,2443458.0699882694,1.0832E-5,52.836,1.0677E-6,6.957E-5,.00014515,.00013108,.00010843,3.3E-6,271,1977-09-06,1978-06-04,421.0
C/1978 H1 (Meier),1001176,2443855.5,1.000849678502475,-1337.59564865687,1.136526267667807,43.7613810065378,349.3447954737863,231.402032823849,.0006364677082457877,2443823.909276579,6.751E-6,10.631,3.3351E-6,.00013509,.00011936,.00011202,.00032331,7.5856E-6,590,1978-04-28,1979-12-09,276.0
C/1983 H1 (IRAS-Araki-Alcock),1000304,2445467.5,0.9898878208777039,98.03435675076732,0.9913409756028386,73.25137867780242,49.10245750540501,192.8506889407098,359.9916183638424,2445475.7545268754,2.2183E-5,.21506,2.875E-7,.00023967,1.2707E-5,.00017924,.00016548,2.7722E-5,160,1983-04-27,1983-10-04,347.0
C/1984 V1 (Levy-Rudenko),1000547,2446071.5,0.9992110362224068,1163.486000129168,0.9179483098386968,65.71461395786685,331.167739121678,82.73686489369632,.0005648536033166338,2446048.755647764,1.4565E-5,21.482,3.0389E-6,.00033495,.00016738,.00038251,.00031895,1.5651E-5,190,1984-11-15,1985-05-24,162.0
C/1986 P1 (Wilson),1000552,2446824.5,1.000314965394949,-3808.82467931473,1.199647969411932,147.1191679685332,111.665560720663,238.3084262128502,-.0003429055142247513,2446906.281838377,5.6953E-6,68.866,2.7705E-6,6.1834E-5,9.0896E-5,.00019474,.00018197,9.2993E-6,980,1986-08-05,1989-04-11,671.0
C/1986 P1-A (Wilson),1001209,2446920.5,1.000312,-3845.0352564,1.199651,147.1191,111.6661,238.3072,0.0000588,2446906.2809,,,,,,,,,980,1986-08-05,1989-04-11,642.0
C/1986 P1-B (Wilson),1001210,2446920.5,1.000797,-1504.8243413,1.199345,147.1192,111.6661,238.3135,0.0002383,2446906.3853,,,,,,,,,421,1988-02-14,1989-04-10,25.0
C/1987 A1 (Levy),1001212,2446845.5,1.000394410239314,-2336.349359297214,0.921480109921712,96.58291953229755,17.11664330229783,95.24509406370815,.0005539526869285263,2446782.0290095024,.00013381,792.4,.00010506,.0040963,.00078214,.0089235,.0036814,.00028179,136,1987-01-08,1987-05-24,62.0
C/1988 F1 (Levy),1001225,2447303.5,0.9977148303712777,513.8373368599499,1.174205476295893,62.8077422039957,288.7638618900883,326.514380512196,.01472862485281082,2447129.440947992,.00015981,36.02,.00022316,.00091783,.0034396,.011346,.0075741,.0015491,118,1988-03-22,1988-07-18,37.0
C/1988 J1 (Shoemaker-Holt),1001226,2447335.5,0.9978077677216638,535.7494127058251,1.174487155633374,62.80704966954395,288.7650061508437,326.5154520849361,.01031493790984918,2447205.7207979197,5.8261E-5,14.246,2.7457E-5,.00060971,.0010965,.0019838,.0032063,.00041164,160,1988-05-13,1988-10-20,84.0
C/1989 T1 (Helin-Roman-Alu),1001241,2447847.5,0.9906139912840161,111.5829491990461,1.04731853373744,46.03653761099656,8.519171559224818,68.12599292519786,359.9757984951538,2447876.4424339663,3.7882E-5,.45111,7.3045E-6,.00092994,.0001178,.00064277,.00054196,.0001472,118,1989-09-29,1990-01-25,120.0
C/1990 K1 (Levy),1000581,2448193.5,1.000583086635218,-1609.945375021148,0.938737631606041,131.5839768965119,139.3640973481184,242.6663308751048,6.585272817061397E-5,2448189.1839505774,1.4281E-6,3.9439,6.1153E-7,7.6313E-5,2.9115E-5,3.7535E-5,5.8204E-5,2.4242E-7,920,1989-09-24,1992-04-01,666.0
C/1990 N1 (Tsuchiya-Kiuchi),1001246,2448160.5,0.9953979037532509,237.3789686866869,1.092440860850179,143.7834751310391,330.737408706595,180.9205851346244,359.9992606175861,2448163.2436480545,2.9952E-5,1.5464,6.8975E-6,.00017443,.00029326,.00084549,.0009676,6.9749E-6,208,1990-07-13,1991-02-06,103.0
C/1993 Q1 (Mueller),1000583,2449288.5,1.000322420292731,-2999.968986132205,0.967250878692655,105.0264998392923,193.7889843579675,261.0329608910372,-.0008954107390872276,2449437.7771628625,4.2749E-6,39.762,5.3123E-6,.00012299,6.3127E-5,.00036197,.00016414,1.7801E-5,566,1992-09-28,1994-04-17,495.0
C/1994 E2 (Shoemaker-Levy),1001267,2449467.5,0.997305281918325,430.033552633581,1.158819190008642,131.2545672734788,166.5686079739317,57.49646312645542,359.9964125368463,2449499.9591309717,1.3799E-5,2.2032,3.1883E-6,.00011623,.00010749,.00026688,.00032391,2.7599E-5,183,1994-03-14,1994-09-13,114.0
C/1994 N1 (Nakamura-Nishimura-Machholz),1001271,2449574.5,1.000004187674279,-272260.8199696829,1.14013963293908,94.37802413721315,158.9122502322911,123.0719141970736,1.946773826135613E-7,2449546.4399043587,7.07E-5,4596500.,1.6044E-5,.00093599,.00010954,.0019424,.0021994,4.93E-6,114,1994-07-06,1994-10-28,305.0
C/1995 Y1 (Hyakutake),1001275,2450137.5,1.000269470509257,-3913.66448311189,1.054617161325053,54.46607179238238,195.7614780561649,46.3487012171129,-1.157053479287727E-6,2450137.7874251357,7.1639E-6,104.04,6.7564E-7,5.0997E-5,8.2455E-5,9.9444E-5,9.0483E-5,4.6426E-8,270,1995-12-26,1996-09-21,259.0
C/1996 N1 (Brewington),1000155,2450304.5,1.000564203309467,-1640.935798719459,0.9258214082604733,52.14795009520106,234.9003620814501,43.96968510776176,8.268035618875517E-5,2450298.923834571,7.7008E-6,22.396,8.8249E-7,.00015804,.00011733,9.7414E-5,6.0551E-5,1.693E-6,122,1996-07-04,1996-11-03,303.0
C/1998 K5 (LINEAR),1000219,2451021.5,0.9866912757228471,72.39965030819518,0.963546983714058,9.927136988567042,211.1176675043707,99.46027042851681,.01528533727933163,2451011.946210789,6.6932E-6,.036402,1.4282E-7,5.1333E-5,7.4259E-5,5.6159E-5,3.4126E-5,1.1476E-5,264,1998-05-26,1999-02-14,627.0
C/1998 P1 (Williams),1000227,2451162.5,0.9993594130639354,1789.224616887551,1.146153915263378,145.7285193610125,156.3730919994927,294.4529323278361,.0007574568782474919,2451104.336419045,1.0305E-5,28.794,6.8749E-6,4.86E-5,5.5317E-5,.00053082,.00039699,1.829E-5,240,1998-08-11,1999-04-08,403.0
C/1999 J3 (LINEAR),1000268,2451429.5,0.9993863899472998,1591.905150759834,0.976809003451493,101.6560362757572,228.9789608121327,161.9805624642706,359.9998111978429,2451441.6668641744,1.6147E-5,41.893,1.3454E-6,.00010574,.00011569,.0001886,.00014857,7.4508E-6,292,1999-05-12,2000-02-28,187.0
C/1999 T1 (McNaught-Hartley),1000275,2451866.5,0.9998557718824566,8123.927278997458,1.171698738509632,79.9752134092422,182.4830068979577,344.7580005145944,359.9999657138752,2451891.972018898,3.617E-6,203.74,8.9116E-7,2.6E-5,3.6946E-5,5.9433E-5,6.5973E-5,1.2898E-6,787,1999-10-07,2001-12-02,661.0
