full_name,spkid,epoch,e,a,q,i,om,w,ma,tp,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_tp,sigma_ma,data_arc,first_obs,last_obs,n_obs_used,best_arr_time,tof,arr_vel,dep_vel,period
109P/Swift-Tuttle,1000140,2450000.5,0.963225755046038,26.0920694978266,0.959516155068868,113.453816997171,139.3811920815948,152.9821676305871,7.631696167124212,2448968.499784556,6.8344e-09,8.2048e-07,1.7657e-07,2.1907e-05,2.7841e-05,3.2865e-05,2.9166e-05,3.1321e-07,94131,1737-07-08,1995-03-29,652.0,1995-10-29 00:00:00.000,120.20202020202021,59.47498129495172,0.5307100110986389,13328480165993.688
C/1977 R1 (Kohler),1000578,2443448.5,0.9995493480893816,2198.096722725135,0.9905764878202094,48.71186547368851,182.5226840064215,163.4866156159515,359.9999084738317,2443458.0699882694,1.0832e-05,52.836,1.0677e-06,6.957e-05,0.00014515,0.00013108,0.00010843,3.3e-06,271,1977-09-06,1978-06-04,421.0,1977-11-12 13:51:07.879,257.5757575757576,31.953389827158595,0.49156995317881147,1.030595016867196e+16
C/1983 H1 (IRAS-Araki-Alcock),1000304,2445467.5,0.989887820877704,98.03435675076732,0.9913409756028386,73.25137867780242,49.10245750540501,192.8506889407098,359.9916183638424,2445475.7545268754,2.2183e-05,0.21506,2.875e-07,0.00023967,1.2707e-05,0.00017924,0.00016548,2.7722e-05,160,1983-04-27,1983-10-04,347.0,1983-05-03 10:28:10.839,285.8585858585859,43.94004647667778,0.6743167276177976,97070059421024.5
C/1988 F1 (Levy),1001225,2447303.5,0.9977148303712776,513.8373368599499,1.174205476295893,62.8077422039957,288.7638618900883,326.514380512196,0.01472862485281082,2447129.440947992,0.00015981,36.02,0.00022316,0.00091783,0.0034396,0.011346,0.0075741,0.0015491,118,1988-03-22,1988-07-18,37.0,1988-06-23 00:00:00.000,180.80808080808083,33.85883955464574,1.2770975340917368,1164813317374325.2
C/1988 J1 (Shoemaker-Holt),1001226,2447335.5,0.9978077677216638,535.7494127058251,1.174487155633374,62.80704966954395,288.7650061508437,326.5154520849361,0.01031493790984918,2447205.72079792,5.8261e-05,14.246,2.7457e-05,0.00060971,0.0010965,0.0019838,0.0032063,0.00041164,160,1988-05-13,1988-10-20,84.0,1988-07-25 00:00:00.000,310.1010101010101,35.61234477990739,1.5003865775088818,1240110531091217.2
C/1990 K1 (Levy),1000581,2448193.5,1.000583086635218,-1609.945375021148,0.938737631606041,131.5839768965119,139.3640973481184,242.6663308751048,6.585272817061397e-05,2448189.1839505774,1.4281e-06,3.9439,6.1153e-07,7.6313e-05,2.9115e-05,3.7535e-05,5.8204e-05,2.4242e-07,920,1989-09-24,1992-04-01,666.0,1990-09-08 03:51:56.617,302.020202020202,54.24692368251042,1.462189040704288,
C/1995 Y1 (Hyakutake),1001275,2450137.5,1.000269470509257,-3913.66448311189,1.054617161325053,54.46607179238238,195.7614780561649,46.3487012171129,-1.157053479287727e-06,2450137.787425136,7.1639e-06,104.04,6.7564e-07,5.0997e-05,8.2455e-05,9.9444e-05,9.0483e-05,4.6426e-08,270,1995-12-26,1996-09-21,259.0,1996-01-14 05:28:36.208,213.13131313131314,33.641923487353644,1.9201006320206375,
C/1996 N1 (Brewington),1000155,2450304.5,1.000564203309467,-1640.935798719459,0.9258214082604732,52.14795009520106,234.9003620814501,43.96968510776176,8.268035618875517e-05,2450298.923834571,7.7008e-06,22.396,8.8249e-07,0.00015804,0.00011733,9.7414e-05,6.0551e-05,1.693e-06,122,1996-07-04,1996-11-03,303.0,1996-07-09 00:00:00.000,261.61616161616166,33.597126979579514,0.2072786427423138,
C/1999 J3 (LINEAR),1000268,2451429.5,0.9993863899472998,1591.905150759834,0.976809003451493,101.6560362757572,228.9789608121327,161.9805624642706,359.9998111978429,2451441.6668641744,1.6147e-05,41.893,1.3454e-06,0.00010574,0.00011569,0.0001886,0.00014857,7.4508e-06,292,1999-05-12,2000-02-28,187.0,1999-09-21 00:00:00.000,314.14141414141415,56.58786617888198,0.4243088033812897,6351753302018083.0
C/2001 Q4 (NEAT),1000351,2453140.5,1.000688051701856,-1398.092298471224,0.961959785314794,99.6426335150403,210.2784398134271,1.204370507121934,-1.820758099498258e-05,2453141.4657215923,9.9686e-07,2.0255,9.5265e-08,8.7679e-06,1.084e-05,1.157e-05,9.4144e-06,3.949e-08,1811,2001-08-24,2006-08-09,2617.0,2004-05-14 00:00:00.000,144.44444444444446,56.65200280361178,0.9517637481068303,
